Curva ABC							
							
Filtros							
Data inicial: 01/09/2025							
Data final: 01/10/2025							
Curvas: Curva A, Curva B, Curva C							
Agrupado por rede de clientes: Não							
Exibir valores com impostos: Sim							
							
							
Razão Social	Nome fantasia	CNPJ/CPF	Estado	Tags de cliente	Curva	Participação em pedidos no período	%
ORGANIZACAO BARATELLA E BALTAZAR EVENTOS LTDA	BUFFET PARTHENON	01.005.782/0001-14	MG		A	16230,40	7,57
CHOKOLATEN ALIMENTOS INDUSTRIA E COMERCIO LTDA	CHOKOLATEN	41.887.017/0001-90	SC		A	12654,14	5,90
 Pro Abelha Comercio e Ind Prod Alimentcios LTDA	 Pro Abelha Comercio e Ind Prod Alimentcios LTDA	31.983.992/0001-48	RJ		A	6510,59	3,03
A CEREALISSIMA COMERCIO DE PRODUTOS NATURAIS LTDA	A CEREALISSIMA	15.265.760/0001-06	GO		A	5983,46	2,79
ROTTA DO SOL HOTELARIA E TURISMO LTDA	SOLAR PORTO DE GALINHAS	08.895.369/0001-11	PE		A	5970,00	2,78
TROPICAL SUPERMERCADOS LTDA	TROPICAL SUPERMERCADOS	23.014.826/0001-05	MT		A	5299,97	2,47
PORT-GALI HOTELARIA E TURISMO LTDA	VIVA PORTO DE GALINHAS RESORT	00.939.085/0001-78	PE		A	5260,84	2,45
SUPERMERCADOS OSANA LTDA	SUPERMERCADOS OSANA	06.982.791/0006-93	RS		A	5187,15	2,42
BIOLIZ COMERCIO DE PRODUTOS NATURAIS LTDA	Divina Terra Capão da Canoa	49.300.020/0001-77	RS	DIVINA TERRA	A	4972,49	2,32
JOAO COSTA SOARES E CIA LTDA	MERCADINHO PAULISTA	34.404.590/0001-30	BA		A	3863,50	1,80
PICADO'S DA TERRA PRODUTOS NATURAIS LTDA	PICADO'S DA TERRA PRODUTOS NATURAIS	37.680.783/0002-92	SC		A	3353,25	1,56
