Positivacao de Clientes										
										
Filtros										
Data inicial: 01/05/2025										
Data final: 01/06/2025										
Situações: Novos, Ativos, Inativos recentes, Inativos antigos										
										
										
Razão Social	Nome fantasia	CNPJ/CPF	Estado	Vendedor do último pedido	Último pedido	Data do último pedido	Data do penúltimo pedido	Diferença (em dias)	Tags de clientes	Situação
MIL FOLHAS PREMIUM LTDA	MIL FOLHAS PREMIUM	39.290.070/0001-67	SP	Helder Brunkow	400	30/05/2025				Novo
23.777.036 WILLIAN YUKIO ITO MARQUES	23.777.036 WILLIAN YUKIO ITO MARQUES	23.777.036/0001-81	SP	Helder Brunkow	372	30/05/2025				Novo
54.993.650 KELMA LIMA DA SILVA BORGES	54.993.650 KELMA LIMA DA SILVA BORGES	54.993.650/0001-04	PA	Lorrany	346	30/05/2025				Novo
49.844.222 LUIS CARLOS VIEIRA	49.844.222 LUIS CARLOS VIEIRA	49.844.222/0001-80	SP	Helder Brunkow	393	29/05/2025				Novo
MERCADO FIT & GRANEL PRODUTOS NATURAIS LTDA	FIT & GRANEL	41.069.473/0001-22	MG	Helder Brunkow	386	28/05/2025				Novo
COMERCIAL TICAZO HIRATA SA	CASA HIRATA - SUPERMERCADO	55.615.538/0002-83	SP	Helder Brunkow	384	28/05/2025				Novo
GC NATURALIS LTDA	GC NATURALIS	54.801.197/0001-97	SC	Larissa Padilha	379	27/05/2025			FIT LAND	Novo
RK COMERCIO DE NUTRICAO LTDA	FIT NUTRICAO	54.116.382/0001-42	SC	Larissa Padilha	376	27/05/2025			FIT LAND	Novo
60.641.605 LARA DE BARROS AMANDO ALENCAR - ME	Nutrindo+	60.641.605/0001-93	PE	Helder Brunkow	364	27/05/2025				Novo
ANNA PAULA LOPES DE OLIVEIRA	IMPERIUM SAUDAVEL	41.920.449/0001-55	ES	Helder Brunkow	365	26/05/2025				Novo
E. A. KASPEICHAKI LTDA	EMPORIO DA MATA PRODUTOS NATURAIS	52.212.261/0001-79	MT	Helder Brunkow	333	26/05/2025				Novo
EMPÓRIO MANJERICÃO LTDA	EMPÓRIO MANJERICÃO	29.693.450/0001-99	PR	Leandro Garcia	369	23/05/2025				Novo
