Positivacao de Clientes										
										
Filtros										
Data inicial: 01/09/2025										
Data final: 01/10/2025										
Situações: Novos, Ativos, Inativos recentes, Inativos antigos										
										
										
Razão Social	Nome fantasia	CNPJ/CPF	Estado	Vendedor do último pedido	Último pedido	Data do último pedido	Data do penúltimo pedido	Diferença (em dias)	Tags de clientes	Situação
VALDECI APARECIDO DE NICOLAI	VALDECI APARECIDO DE NICOLAI	37.633.350/0001-03	SP	Larissa Padilha	1186	01/10/2025				Novo
GAN NUTRICAO LTDA	GAN NUTRICAO	34.313.930/0001-17	SC	Julio  Gadret	1177	01/10/2025				Novo
42.149.466 LARISSA DA SILVA PADILHA	LARISSA DA SILVA PADILHA	42.149.466/0001-01	SC	Larissa Padilha	994	01/10/2025				Novo
C.CORREA LTDA	C.CORREA LTDA	62.106.171/0001-57	PR	Central - Daiane	1182	30/09/2025				Novo
VIDA NATURAL COMERCIO DE PRODUTOS ALIMENTICIOS LTDA	VIDA NATURAL	61.791.187/0001-83	PA	Central - Daiane	1181	30/09/2025			VIDA LEVE	Novo
CASANOVA PRODUTOS NATURAIS LTDA	VIDA NATURAL FSA	62.617.017/0001-40	BA	Central - Daiane	1180	30/09/2025			VIDA LEVE	Novo
P M DA SILVA ROSA PRODUTOS NATURAIS LTDA	LOJA VIDA LEVE VILA ARENS	62.004.109/0001-54	SP	Central - Daiane	1178	30/09/2025			VIDA LEVE	Novo
CANELINHA COMERCIO DE PRODUTOS NATURAIS LTDA	L.A. PRODUTOS NATURAIS	56.174.184/0001-60	SC	Julio  Gadret	1171	29/09/2025			FIT LAND	Novo
FARMACIA HOMEOPATICA AVILA LTDA	Ávila Natural	76.384.908/0001-08	SC	Julio  Gadret	1164	29/09/2025			CIA DA SAUDE	Novo
AVILA SUPLEMENTOS ALIMENTICIOS LTDA	AVILA SUPLEMENTOS	16.966.212/0001-68	SC	Julio  Gadret	1149	29/09/2025			CIA DA SAUDE	Novo
MS COMERCIO DE PRODUTOS NATURAIS LTDA	MS DISTRIBUIDORA	37.790.248/0001-03	PR	Manu Ditzel	1129	29/09/2025				Novo
HENRI G. VALCARENGHI LTDA	HENRI G. VALCARENGHI LTDA	57.963.322/0001-53	RS	Central - Daiane	1104	29/09/2025			DIVINA TERRA	Novo
CPQ BRASIL S/A - EM RECUPERACAO JUDICIAL	CPQ BRASIL S/A - EM RECUPERACAO JUDICIAL	74.552.068/0001-10	SP	Larissa Padilha	1014	29/09/2025				Novo
PICADO'S DA TERRA PRODUTOS NATURAIS LTDA	PICADO'S DA TERRA PRODUTOS NATURAIS	37.680.783/0002-92	SC	Julio  Gadret	1151	26/09/2025				Novo
PICADO'S DA TERRA COMERCIO DE PRODUTOS NATURAIS LTDA	PICADOS DA TERRA	59.633.825/0001-96	SC	Julio  Gadret	1143	26/09/2025				Novo
CSJ BRASIL ALIMENTOS LTDA	CSJ BRASIL ALIMENTOS LTDA	58.363.567/0001-02	SC	Julio  Gadret	1137	26/09/2025			CIA DA SAUDE	Novo
COOPERATIVA DE TRABALHO MEDICO DE JARAGUA DO SUL	UNIMED JARAGUA DO SUL	03.855.214/0002-19	SC	Manu Ditzel	1080	26/09/2025				Novo
SUPERMERCADO MERCOCENTRO LTDA	SUPERMERCADO MERCOCENTRO	05.382.867/0002-53	SC	Manu Ditzel	1215	25/09/2025				Novo
VILLA DOS GRAOS PRODUTOS NATURAIS LTDA	VILLA DOS GRAOS	60.822.789/0001-98	SC	Julio  Gadret	1142	25/09/2025				Novo
ELIAS MACIEL DA ROSA	VILLA DOS GRAOS	31.118.319/0001-40	SC	Julio  Gadret	1141	25/09/2025				Novo
TUDO EM GRAOS COMERCIO DE ALIMENTOS LTDA	TUDO EM GRAOS COMERCIO DE ALIMENTOS LTDA	20.474.456/0001-09	RS	Central - Daiane	1138	25/09/2025			TUDO EM GRÃOS	Novo
DOCE PUDIM ALIMENTOS LTDA	DOCE PUDIM	29.619.670/0001-72	GO	Manu Ditzel	1122	25/09/2025				Novo
IS COMERCIO DE PRODUTOS NATURAIS LTDA	Vida leve Barreiras	52.169.809/0001-45	BA	Central - Daiane	1136	23/09/2025			VIDA LEVE	Novo
LOJA DE CONVENIENCIA D-PORT LTDA	CONVENIENCIA D-PORT	42.627.934/0001-06	SP	Larissa Padilha	1123	23/09/2025				Novo
CATIMBAU PRODUTOS ALIMENTICIOS LTDA	CATIMBAU	47.725.529/0001-36	SP	Manu Ditzel	1210	22/09/2025				Novo
TRON GENEROS ALIMENTICIOS LTDA	MENEGAZ SUPERMERCADO 2	95.772.216/0002-62	SC	Manu Ditzel	1195	22/09/2025				Novo
 Pro Abelha Comercio e Ind Prod Alimentcios LTDA	 Pro Abelha Comercio e Ind Prod Alimentcios LTDA	31.983.992/0001-48	RJ	Manu Ditzel	1194	17/09/2025				Novo
BIOLIZ COMERCIO DE PRODUTOS NATURAIS LTDA	Divina Terra Capão da Canoa	49.300.020/0001-77	RS	Central - Daiane	1099	17/09/2025			DIVINA TERRA	Novo
COMERCIO DE ALIMENTOS BLUMENAU LTDA	DIVINA TERRA - BLUMENAU	62.341.898/0001-19	SC	Central - Daiane	1094	17/09/2025			DIVINA TERRA	Novo
INOVASMART SOLUTIONS LTDA	MINHA QUITANDINHA	59.087.175/0001-20	RJ	Manu Ditzel	1087	17/09/2025				Novo
51.599.613 GENESIO PAIXAO DE JESUS	51.599.613 GENESIO PAIXAO DE JESUS	51.599.613/0001-28	SP	Manu Ditzel	1081	17/09/2025				Novo
ESSENCIAS E FESTAS CONFEITARIA LTDA	ESSENCIAS E FESTAS CONFEITARIA	46.894.141/0001-04	PI	Manu Ditzel	1071	17/09/2025				Novo
JSC COMERCIO LTDA	MINHA QUITANDINHA	57.609.477/0001-96	RS	Manu Ditzel	1070	15/09/2025				Novo
CASAL MONSTRO SUPLEMENTOS LTDA	CASAL MONSTRO SUPLEMENTOS	29.301.639/0001-99	RJ	Central - Daiane	1057	15/09/2025				Novo
EVOLUCAO FIT NUTRICAO LTDA	EVOLUCAO FIT NUTRICAO	62.555.863/0001-82	PR	Central - Daiane	1084	12/09/2025			FIT LAND	Novo
TERRA DIVINA COMERCIO DE ALIMENTOS EIRELI	PRODUTOS DA TERRA	13.975.801/0001-14	RS	Central - Daiane	1075	12/09/2025			DIVINA TERRA	Novo
JOAO COSTA SOARES E CIA LTDA	MERCADINHO PAULISTA	34.404.590/0001-30	BA	Manu Ditzel	1204	11/09/2025				Novo
JOAO COSTA SOARES E CIA LTDA	MERCADINHO PAULISTA I I	34.404.590/0003-00	BA	Manu Ditzel	1203	11/09/2025				Novo
SUPERMERCADOS OSANA LTDA	SUPERMERCADOS OSANA	06.982.791/0006-93	RS	Manu Ditzel	1199	11/09/2025				Novo
GRANUM CAFE LTDA.	GRANUM CAFE	18.010.232/0001-96	SP	Manu Ditzel	1072	11/09/2025				Novo
ORGANIZACAO BARATELLA E BALTAZAR EVENTOS LTDA	BUFFET PARTHENON	01.005.782/0001-14	MG	Manu Ditzel	1196	09/09/2025				Novo
ITALO ZILMER BEDERODE LTDA	ITALO ZILMER BEDERODE LTDA	53.754.257/0001-03	RS	Manu Ditzel	1016	05/09/2025				Novo
LET'S MARKET LTDA	MINHA QUITANDINHA - AGUA VERDE - BLUMENAU	54.729.143/0001-68	SC	Manu Ditzel	1054	04/09/2025				Novo
L N G PRODUTOS NATURAIS LTDA	BIO MUNDO GURUPI	55.861.609/0001-47	TO	Central - Daiane	1036	04/09/2025			BIO MUNDO	Novo
TRIBO VERDE PRODUTOS NATURAIS LTDA	EMPORIO TRIBO ALDEIA VERDE	48.391.847/0001-70	GO	Manu Ditzel	1027	02/09/2025				Novo
MARCOS HENRIQUE RODRIGUES HERTZOG LTDA	HERTZ NUTRITION	17.039.758/0001-36	RS	Manu Ditzel	1020	02/09/2025				Novo
49.844.222 LUIS CARLOS VIEIRA	49.844.222 LUIS CARLOS VIEIRA	49.844.222/0001-80	SP	Larissa Padilha	1208	01/10/2025	04/08/2025	58,00		Ativo
MAIARA LORCA DE OLIVEIRA	MUNDO VERDE VOCE MAIS SAUDAVEL	28.019.593/0001-57	SP	Central - Daiane	1184	30/09/2025	06/08/2025	55,00	MUNDO VERDE	Ativo
FIT LAGES COMERCIO DE SUPLEMENTOS E PRODUTOS NATURAIS LTDA	FIT LAGES COMERCIO DE SUPLEMENTOS E PRODUTOS NATURAIS	52.607.036/0001-31	SC	Julio  Gadret	1173	29/09/2025	26/08/2025	34,00	FIT LAND	Ativo
FIT SJB COMERCIO DE SUPLEMENTOS E PRODUTOS NATURAIS LTDA	FIT SJB	43.732.530/0001-37	SC	Julio  Gadret	1172	29/09/2025	26/08/2025	34,00	FIT LAND	Ativo
EPC PRODUTOS NATURAIS E SUPLEMENTACAO LTDA	FRANQUIA FITLAND BLUMENAU	40.917.018/0001-77	SC	Julio  Gadret	1169	29/09/2025	25/08/2025	35,00	FIT LAND	Ativo
MDORNELLAS PRODUTOS NATURAIS E SUPLEMENTOS LTDA	FITLAND BLUMENAU AGUA VERDE	49.982.339/0001-20	SC	Julio  Gadret	1163	29/09/2025	26/08/2025	34,00	FIT LAND	Ativo
SUPERMERCADO MERCOCENTRO LTDA	SUPERMERCADO MERCOCENTRO	05.382.867/0001-72	SC	Manu Ditzel	1245	26/09/2025	27/08/2025	30,00		Ativo
MARILIA RAFAELA FERREIRA DA LUZ LTDA	MARILIA RAFAELA FERREIRA DA LUZ LTDA	61.746.555/0001-71	PR	Central - Daiane	1152	26/09/2025	25/08/2025	32,00		Ativo
WILSON DE REZENDE PENHA	SUPERACAO & VIDA SAUDAVEL	34.060.666/0001-57	SP	Manu Ditzel	1213	25/09/2025	26/08/2025	30,00		Ativo
LDP COMERCIO DE PRODUTOS LTDA	VERCATTO BOUTIQUE SÁUDAVEL	41.711.232/0001-35	PR	Central - Daiane	1144	25/09/2025	17/09/2025	8,00		Ativo
EMPORIO POMAR URBANO ALIMENTOS LTDA	EMPORIO POMAR URBANO	22.332.946/0001-98	SC	Manu Ditzel	1140	25/09/2025	15/08/2025	41,00		Ativo
CHOKOLATEN ALIMENTOS INDUSTRIA E COMERCIO LTDA	CHOKOLATEN	41.887.017/0001-90	SC	Manu Ditzel	1193	24/09/2025	09/09/2025	15,00		Ativo
ACADEMIA LIFE ENERGY LTDA	ACADEMIA LIFE ENERGY	13.154.456/0002-39	PR	Manu Ditzel	1120	24/09/2025	06/08/2025	49,00		Ativo
SUPERMERCADO S & V LTDA	SUPERMERCADO OFERTAO	07.316.826/0001-03	SC	Manu Ditzel	1212	23/09/2025	15/08/2025	39,00		Ativo
52.655.585 LAURA ISABEL RICARDO OCHOA	LAURA ISABEL RICARDO OCHOA	52.655.585/0001-81	BA	Larissa Padilha	1133	23/09/2025	04/09/2025	19,00		Ativo
MAGOGA HORTIFRUTI LTDA	MAGOGA HORTIFRUTI LTDA	54.211.982/0001-90	SP	Larissa Padilha	1127	22/09/2025	25/07/2025	59,00		Ativo
TROPICAL SUPERMERCADOS LTDA	TROPICAL SUPERMERCADOS	23.014.826/0001-05	MT	Larissa Padilha	1111	18/09/2025	28/08/2025	21,00		Ativo
POSTOS LP LTDA	POSTO LP	03.207.136/0001-65	SC	Manu Ditzel	1092	18/09/2025	31/07/2025	49,00		Ativo
KAROLINE SABINO DA SILVA	SWEET AND FIT ATELIER	37.370.567/0001-60	SP	Manu Ditzel	1209	17/09/2025	14/08/2025	34,00		Ativo
